Address,Amount
0xa1d3aebf32163c96ef9a5ebaa38981e04ea41365,10
0xef34f0fad2bec63a7d47d4a2179b3c06fbe4abb3,5
0x9325564ade7683706107685cf1993678b1163261,3
0x6f0d7d31f8124621a91c7d27803f60dbf54e42bc,19
0xf2ba9e4872f03a72a94f8c32e87fc0f2981e19a8,8
0x3fc113d0e2fe8dba815aa373906f63c171845d40,16
0x7798ba9512b5a684c12e31518923ea4221a41fb9,11
0xd9d836ebc67abeec65b29e586f89816dab991f69,34
0xd54d23200e2bf7cb7a7d6792a55da1377a697799,10
0xaeab1aa832cbab4c45953c9b64c05956f4a537e5,2
0x6ac0a3cd8566160122269b1f585fd77be0f38f77,13
0x01e4e2336c28def39c58098893d8ad84b9f1b9c7,6
0xd200cd375fe03d9eda297b3bac32d0c8d5f28495,8
0xff634f9ed1005198f3ae614328d2274c97e97b56,2
0xdce9609a7a8acd5e803dd04a262a808d91736d11,4
0x469903cefa6b5493d44924db3f2cbabe8300bc74,31
0x9b6e536706ddcc6f1cd1d51e198f5bed84085f21,4
0x2b5233fa7753870a588dcca95e876f4c29470889,1
0xe5964fd10170c8291cf97552284d995a006e67ae,2
0x9a9220054cd43a6bae5d7035581f27145c1727d9,5
0xaf2acea6ec6b5411a66ebbc3a2526516048dfc35,37
0x465e0587f58942111f0ed2fe108a0c64b8bdc10c,5
0xb09d345da3fe50cb4b19792b4f15eb96f51dbf68,5
0x6369460b015420c61a3a75c3e9595c81d0b94795,13
0x4be16253dfe338e7fe6a36bc1008f720183c2919,3
0x2e1145934acb3d346c2774ac4878a198d12223cf,9
0x1146f36cf74fbb2971dcda652d0a3f4289a39d53,2
0x4da4a2f69cb2f61a49efb7423b1f093b79c6f1f2,18
0xd719bc8dd2702289278012278d6b6b8b808b3311,1
0x63eeb58ead8bcd262b2ffde287b36a3533be89f6,3
0xf5d0318692f822680b733955828a25507f031c95,20
0x70a9c497536e98f2dbb7c66911700fe2b2550900,13
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,21
0xd05d113669355cbe5ac7c4e466eaa9e3e87e8054,3
0xe2c2e919a35e1c012f5ffcc77574c9037dd9521b,3
0xe3c5f195efb34d723543d8bd5bf85a910a22852e,11
0xf5670ea8317e037d6fe14a4cd3c6c383ed2ff3e9,8
0xce797b56f9637aaf4058c38093949aafbf48ef57,1
0x31ee9111f4972cdbe483979434c260e168b12743,2
0x0db1f475e841948777eaaa6519efeb6e4d01648c,32
0x0e569d21238a29d82acbee5e51c717bac80a2dd8,41
0xdcb4d67d6400df01733a1aaeb4d7d5bf54fffb32,6
0x97dae929262003711ff1f91f707464220664b4e9,1
0xbfc016652a6708b20ae850ee92d2ea23cca5f31a,32
0x3e13a696fc535c83791b0920d940c4fe9a49bd1a,4
0x5d4d3fae4d0282fd8a558b5f42ba700974cbfd1a,16
0x1c62c89cf3f57eae7d61f1490c985ee82452752c,11
0x1bc3e2c44e0b2dabb1b06a1890273571825d3e03,20
0x30224981a4b5a6e2938d0a62900f77f90a2a0c24,2
0x01d6fe5ba53012cdf10e066d3afc21d557e891d9,14
0x43961f20194c1a27888386f8547b91ac23f9d8ae,10
0x08df65a5a9c110c2103c0c3cb4a05affa44ccd9c,3
0x87bd5a0baddb682bee234ebeb771b33636ed5667,11
0x8155b89b9eff2ac567cfc4ea4a370dadea748902,2
0x66d110dc5f5ec25908562032b035dba4d4ae519d,4
0x11d67fa925877813b744abc0917900c2b1d6eb81,10
0x3fe5041f8ff5d8efa33087699d95bee807a44940,1
